212
1,2,14
2,2,86
3,4,82
4,5,17
5,5,23
6,5,36
7,7,39
8,9,29
9,9,60
10,9,63
11,9,73
12,10,70
13,11,24
14,11,28
15,11,30
16,11,52
17,12,51
18,12,56
19,12,87
20,12,88
21,12,91
22,13,32
23,14,41
24,14,86
25,15,23
26,15,48
27,15,99
28,16,18
29,17,64
30,17,92
31,17,93
32,17,94
33,19,79
34,20,35
35,20,61
36,22,35
37,22,37
38,22,42
39,23,99
40,24,25
41,24,28
42,24,30
43,24,74
44,25,49
45,25,72
46,27,57
47,28,30
48,29,60
49,29,63
50,29,73
51,31,59
52,32,44
53,33,34
54,33,47
55,34,47
56,35,42
57,36,75
58,36,76
59,36,77
60,46,68
61,46,90
62,49,72
63,49,95
64,51,87
65,51,88
66,51,91
67,52,74
68,52,97
69,54,59
70,54,62
71,54,100
72,56,83
73,56,91
74,58,76
75,58,77
76,58,81
77,59,62
78,59,100
79,60,73
80,60,82
81,61,93
82,61,94
83,62,70
84,62,100
85,64,66
86,64,67
87,64,75
88,64,92
89,64,93
90,64,94
91,66,67
92,66,75
93,67,75
94,69,89
95,70,100
96,71,83
97,73,82
98,74,97
99,76,77
100,76,81
101,77,81
102,87,88
103,87,91
104,92,93
105,92,94
106,93,94
107,14,2
108,86,2
109,82,4
110,17,5
111,23,5
112,36,5
113,39,7
114,29,9
115,60,9
116,63,9
117,73,9
118,70,10
119,24,11
120,28,11
121,30,11
122,52,11
123,51,12
124,56,12
125,87,12
126,88,12
127,91,12
128,32,13
129,41,14
130,86,14
131,23,15
132,48,15
133,99,15
134,18,16
135,64,17
136,92,17
137,93,17
138,94,17
139,79,19
140,35,20
141,61,20
142,35,22
143,37,22
144,42,22
145,99,23
146,25,24
147,28,24
148,30,24
149,74,24
150,49,25
151,72,25
152,57,27
153,30,28
154,60,29
155,63,29
156,73,29
157,59,31
158,44,32
159,34,33
160,47,33
161,47,34
162,42,35
163,75,36
164,76,36
165,77,36
166,68,46
167,90,46
168,72,49
169,95,49
170,87,51
171,88,51
172,91,51
173,74,52
174,97,52
175,59,54
176,62,54
177,100,54
178,83,56
179,91,56
180,76,58
181,77,58
182,81,58
183,62,59
184,100,59
185,73,60
186,82,60
187,93,61
188,94,61
189,70,62
190,100,62
191,66,64
192,67,64
193,75,64
194,92,64
195,93,64
196,94,64
197,67,66
198,75,66
199,75,67
200,89,69
201,100,70
202,83,71
203,82,73
204,97,74
205,77,76
206,81,76
207,81,77
208,88,87
209,91,87
210,93,92
211,94,92
212,94,93
