110
4,3,6,5.19148,0.000315102,1
9,6,50,5.1926,0.0001,1
12,7,29,5.19106,0.000396645,1
17,8,36,25.8511,0.00886264,8
25,11,64,25.7426,0.0130226,8
28,12,71,5.19075,0.000456483,1
30,13,37,5.19049,0.00050659,1
31,14,33,5.19037,0.000530128,1
37,15,89,5.19118,0.000373973,1
38,16,46,26.0351,0.00180808,8
39,16,90,5.18938,0.000720683,1
40,19,36,5.18938,0.000720612,1
45,20,28,5.19195,0.000225866,1
46,20,30,5.19002,0.000595889,1
51,23,64,5.18968,0.000662668,1
52,24,65,25.7471,0.0128472,8
62,30,57,25.7507,0.0127126,8
64,31,77,5.19002,0.000595949,1
72,40,92,25.7913,0.0111534,8
73,42,74,5.18985,0.000629733,1
75,44,67,5.19217,0.000182301,1
77,45,58,25.7985,0.0108764,8
78,45,73,5.19108,0.000392276,1
79,46,90,5.18956,0.000685935,1
80,47,58,5.19003,0.000595066,1
86,52,54,25.9178,0.00630378,8
87,52,88,25.7866,0.0113329,8
88,54,88,25.7889,0.011248,8
90,58,73,5.19176,0.000262009,1
91,59,99,5.19125,0.000360165,1
98,65,87,5.18939,0.000718213,1
100,68,76,25.7786,0.0116431,8
108,83,94,5.19014,0.000573293,1
114,6,3,5.19148,0.000315102,1
119,50,6,5.1926,0.0001,1
122,29,7,5.19106,0.000396645,1
127,36,8,25.8511,0.00886264,8
135,64,11,25.7426,0.0130226,8
138,71,12,5.19075,0.000456483,1
140,37,13,5.19049,0.00050659,1
141,33,14,5.19037,0.000530128,1
147,89,15,5.19118,0.000373973,1
148,46,16,26.0351,0.00180808,8
149,90,16,5.18938,0.000720683,1
150,36,19,5.18938,0.000720612,1
155,28,20,5.19195,0.000225866,1
156,30,20,5.19002,0.000595889,1
161,64,23,5.18968,0.000662668,1
162,65,24,25.7471,0.0128472,8
172,57,30,25.7507,0.0127126,8
174,77,31,5.19002,0.000595949,1
182,92,40,25.7913,0.0111534,8
183,74,42,5.18985,0.000629733,1
185,67,44,5.19217,0.000182301,1
187,58,45,25.7985,0.0108764,8
188,73,45,5.19108,0.000392276,1
189,90,46,5.18956,0.000685935,1
190,58,47,5.19003,0.000595066,1
196,54,52,25.9178,0.00630378,8
197,88,52,25.7866,0.0113329,8
198,88,54,25.7889,0.011248,8
200,73,58,5.19176,0.000262009,1
201,99,59,5.19125,0.000360165,1
208,87,65,5.18939,0.000718213,1
210,76,68,25.7786,0.0116431,8
218,94,83,5.19014,0.000573293,1
