# hacked file - doesn't match request
1,2,1,1,1,2,1,2.108000
2,2,1,1,1,2,1,2.108000
3,2,1,1,1,2,1,2.108000
4,2,1,1,1,2,1,2.108000
5,2,1,1,1,2,1,2.108000
6,2,1,1,1,2,1,2.108000
7,2,1,1,1,2,1,2.108000
8,2,1,1,1,2,1,2.108000
9,2,1,1,1,2,1,2.108000
10,2,1,1,1,2,1,2.108000
12,1,1,2,1,2,2,2.108000
13,1,1,2,1,2,2,2.108000
14,1,1,2,1,2,2,2.108000
15,1,1,2,1,2,2,2.108000
16,1,1,2,1,2,2,2.108000
17,1,1,2,1,2,2,2.108000
18,1,1,2,1,2,2,2.108000
19,1,1,2,1,2,2,2.108000
20,1,1,2,1,2,2,2.108000
21,1,1,2,1,2,2,2.108000
24,1,1,3,1,2,3,2.108000
25,1,1,3,1,2,3,2.108000
26,1,1,3,1,2,3,2.108000
27,1,1,3,1,2,3,2.108000
28,1,1,3,1,2,3,2.108000
29,1,1,3,1,2,3,2.108000
30,1,1,3,1,2,3,2.108000
31,1,1,3,1,2,3,2.108000
32,1,1,3,1,2,3,2.108000
33,1,1,3,1,2,3,2.108000
36,1,1,4,1,2,4,2.108000
37,1,1,4,1,2,4,2.108000
38,1,1,4,1,2,4,2.108000
39,1,1,4,1,2,4,2.108000
40,1,1,4,1,2,4,2.108000
41,1,1,4,1,2,4,2.108000
42,1,1,4,1,2,4,2.108000
43,1,1,4,1,2,4,2.108000
44,1,1,4,1,2,4,2.108000
45,1,1,4,1,2,4,2.108000
48,3,1,5,1,2,5,2.108000
49,3,1,5,1,2,5,2.108000
50,3,1,5,1,2,5,2.108000
51,3,1,5,1,2,5,2.108000
52,3,1,5,1,2,5,2.108000
53,3,1,5,1,2,5,2.108000
54,3,1,5,1,2,5,2.108000
55,3,1,5,1,2,5,2.108000
56,3,1,5,1,2,5,2.108000
57,3,1,5,1,2,5,2.108000
60,1,1,6,1,2,6,2.108000
61,1,1,6,1,2,6,2.108000
62,1,1,6,1,2,6,2.108000
63,1,1,6,1,2,6,2.108000
64,1,1,6,1,2,6,2.108000
65,1,1,6,1,2,6,2.108000
66,1,1,6,1,2,6,2.108000
67,1,1,6,1,2,6,2.108000
68,1,1,6,1,2,6,2.108000
69,1,1,6,1,2,6,2.108000
72,3,1,7,1,2,7,2.108000
73,3,1,7,1,2,7,2.108000
74,3,1,7,1,2,7,2.108000
75,3,1,7,1,2,7,2.108000
76,3,1,7,1,2,7,2.108000
77,3,1,7,1,2,7,2.108000
78,3,1,7,1,2,7,2.108000
79,3,1,7,1,2,7,2.108000
80,3,1,7,1,2,7,2.108000
81,3,1,7,1,2,7,2.108000
84,1,1,8,1,2,8,2.108000
85,1,1,8,1,2,8,2.108000
86,1,1,8,1,2,8,2.108000
87,1,1,8,1,2,8,2.108000
88,1,1,8,1,2,8,2.108000
89,1,1,8,1,2,8,2.108000
90,1,1,8,1,2,8,2.108000
91,1,1,8,1,2,8,2.108000
92,1,1,8,1,2,8,2.108000
93,1,1,8,1,2,8,2.108000
